Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
TSRTC - 8675,RAJDHANI (A.C. Semi Sleeper),17:35,21:30,03h 55m,389,25 Seats available,"3.8
57",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),18:00,22:00,04h 00m,389,33 Seats available,"3.3
34",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 1952,LAHARI A/C SLEEPER CUM SEATER,18:10,21:45,03h 35m,389,23 Seats available,"3.3
41",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 4172,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,22:30,04h 00m,389,35 Seats available,"3.7
44",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8677,Super Luxury (Non AC Seater 2+2 Push Back),19:30,23:40,04h 10m,320,31 Seats available,"3.9
20",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64022,Rajdhani (AC Semi Sleeper 2+2),19:30,00:15,04h 45m,389,35 Seats available,"2.9
27",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,389,35 Seats available,"3.5
52",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8619,Rajdhani (AC Semi Sleeper 2+2),22:00,02:00,04h 00m,389,34 Seats available,"3.8
70",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64593,Super Luxury (Non AC Seater 2+2 Push Back),22:30,02:25,03h 55m,320,29 Seats available,"4.1
29",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8827,Super Luxury (Non AC Seater 2+2 Push Back),22:55,03:20,04h 25m,320,29 Seats available,"4.5
10",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8644,Super Luxury (Non AC Seater 2+2 Push Back),23:10,03:20,04h 10m,320,29 Seats available,"3.9
45",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8992,Super Luxury (Non AC Seater 2+2 Push Back),23:25,03:20,03h 55m,320,15 Seats available,"3.9
18",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64008,RAJADHANI AC (CONVERTED METRO LUXURY),23:30,03:30,04h 00m,389,34 Seats available,"4.0
76",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8805,RAJDHANI (A.C. Semi Sleeper),23:45,03:30,03h 45m,389,27 Seats available,"3.3
20",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8921,Super Luxury (Non AC Seater 2+2 Push Back),23:55,14:30,0-10h 0-25m,320,30 Seats available,3.6,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,400,30 Seats available,"3.4
11",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,400,30 Seats available,"4.2
23",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,380,28 Seats available,"3.0
9",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,350,29 Seats available,"3.8
5",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri KVR Travels,A/C Sleeper (2+1),23:58,05:00,05h 02m,480,34 Seats available,3.2,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 7326,Super Luxury (Non AC Seater 2+2 Push Back),17:55,20:20,02h 25m,283,19 Seats available,"2.0
15",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TSRTC - 7418,Super Luxury (Non AC Seater 2+2 Push Back),18:00,21:05,03h 05m,283,7 Seats available,"1.7
4",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TSRTC - 7810,LAHARI A/C SLEEPER CUM SEATER,18:00,20:55,02h 55m,343,17 Seats available,"3.7
24",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TSRTC - 7029,Super Luxury (Non AC Seater 2+2 Push Back),18:05,21:05,03h 00m,283,3 Seats available,"3.9
31",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TSRTC - 7290,LAHARI A/C SLEEPER CUM SEATER,19:00,21:40,02h 40m,343,29 Seats available,"3.1
22",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TSRTC - 7336,Super Luxury (Non AC Seater 2+2 Push Back),19:15,22:15,03h 00m,283,31 Seats available,"3.1
17",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TSRTC - 7120,Super Luxury (Non AC Seater 2+2 Push Back),20:00,23:00,03h 00m,283,31 Seats available,"3.4
16",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
