Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09:00:00,1100.0,4,4.4,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10:00:00,1099.0,2,4.1,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Suraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09:00:00,1450.0,6,3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdFAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,09:00:00,2699.0,3,4.4,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10:30:00,949.0,3,4.0,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09:00:00,1499.0,6,3.8,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,09:05:00,999.0,2,3.4,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),21:45,07:00,09:15:00,1000.0,1,3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09:45:00,700.0,1,2.6,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08:15:00,1390.0,3,4.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
